Symbol	Open	Low	Volume	Name
FIV	9.61	9.57	123000	First Trust Senior Floating Rate 2022 Target Term Fund
FIX	36.85	36.1	134600	Comfort Systems USA, Inc.
KED	17.07	16.7	30100	Kayne Anderson Energy Development Company
SUI	88	87.9	272900	Sun Communities, Inc.
KEG	12.06	11.75	70400	Key Energy Services, Inc.
SUM	31.58	30.99	816000	Summit Materials, Inc.
SUN	31.5	31.05	208400	Sunoco LP
KEM	26.36	26.02	1549100	Kemet Corporation
SUP	16.85	16.8	127300	Superior Industries International, Inc.
KEP	17.47	17.434	406700	Korea Electric Power Corporation
ANF	13.03	12.92	1559800	Abercrombie & Fitch Company
USAC	17.04	16.81	41900	USA Compression Partners, LP
ANH	6.08	6.05	142500	Anworth Mortgage Asset  Corporation
KEX	65.25	64.95	340300	Kirby Corporation
KEY	18.46	18.15	8031900	KeyCorp
PAA	20.57	20.55	2368800	Plains All American Pipeline, L.P.
FCFS	60.35	60.15	215600	First Cash, Inc.
PAC	95.92	95.36	87100	Grupo Aeroportuario Del Pacifico, S.A. de C.V.
PAG	45.29	45.18	178300	Penske Automotive Group, Inc.
PAH	11.28	10.83	2704600	Platform Specialty Products Corporation
PAI	16.31	16.24	22200	Pacific American Income Shares, Inc.
ANW	4.55	4.5	463100	Aegean Marine Petroleum Network Inc.
PAM	66.43	64	254700	Pampa Energia S.A.
NZF	15.17	15.15	151700	Nuveen Municipal Credit Income Fund
PAR	10.9	10.56	16300	PAR Technology Corporation
PAY	20.26	20.07	636100	Verifone Systems, Inc.
SHAK	33.55	33.55	340100	Shake Shack, Inc.
SVU	18.8	18.5	1569800	SuperValu Inc.
AOD	9.15	9.12	186400	Alpine Total Dynamic Dividend Fund
KFS	6	5.9	11200	Kingsway Financial Services, Inc.
AOI	11.05	10.9	21900	Alliance One International, Inc.
KFY	40.32	39.82	200800	Korn/Ferry International
AON	150.04	148.5	852000	Aon plc
PBA	34.18	33.49	484400	Pembina Pipeline Corp.
CLGX	48.88	48.74	1266900	CoreLogic, Inc.
PBB	26.07	25.945	3200	Prospect Capital Corporation
XRF	11.08	11.06	1428800	China Rapid Finance Limited
AOS	61.15	60.57	592200	Smith (A.O.) Corporation
PBF	27.48	27.4	2135700	PBF Energy Inc.
PBH	47.64	47.29	274300	Prestige Brand Holdings, Inc.
PBI	13.79	13.47	1925500	Pitney Bowes Inc.
XRM	4.9	4.89	24800	Xerium Technologies, Inc.
CBPX	26.5	26.45	226300	Continental Building Products, Inc.
PBR	10.47	10.35	12146900	Petroleo Brasileiro S.A.- Petrobras
PBT	9.25	9.11	68000	Permian Basin Royalty Trust
XRX	33.02	32.64	1194700	Xerox Corporation
KGC	4.25	4.21	6274300	Kinross Gold Corporation
SWJ	25.325	25.26	16400	Stanley Black & Decker, Inc.
SWK	158.59	156.55	655300	Stanley Black & Decker, Inc.
DESP	32.76	30.06	510600	Despegar.com, Corp.
SWM	42	41.35	91400	Schweitzer-Mauduit International, Inc.
SWN	5.57	5.57	11653100	Southwestern Energy Company
SWP	117.26	117.03	1300	Stanley Black & Decker, Inc.
APA	42.57	42.19	3392700	Apache Corporation
APB	14.39	14.39	1300	Asia Pacific Fund, Inc. (The)
APC	48.34	47.95	4374800	Anadarko Petroleum Corporation
APD	153.68	152.8	585600	Air Products and Chemicals, Inc.
HSEA	27.19	27.19	43000	HSBC Holdings plc
HSEB	26.97	26.95	79600	HSBC Holdings plc
APF	18.02	17.95	10300	Morgan Stanley Asia-Pacific Fund, Inc.
SWX	79.06	78.91	173200	Southwest Gas Holdings, Inc.
APH	86.98	86.47	993800	Amphenol Corporation
SWZ	12.8	12.75	10900	Swiss Helvetia Fund, Inc. (The)
APO	31.46	31.23	1097200	Apollo Global Management, LLC
PCF	9.01	8.98	12300	Putnam High Income Bond Fund
PCG	55.4	54.46	27735300	Pacific Gas & Electric Co.
APU	44.74	44.6	96900	AmeriGas Partners, L.P.
PCI	22.72	22.45	1926400	PIMCO Dynamic Credit and Mortgage Income Fund
PCK	10.11	10.11	29900	Pimco California Municipal Income Fund II
PCM	11.67	11.37	72000	PIMCO Commercial Mortgage Securities Trust, Inc.
JBGS	32.49	32.43	625000	JBG SMITH Properties
PCN	17.17	16.85	180700	Pimco Corporate & Income Stategy Fund
PCQ	17.17	17.17	46900	PIMCO California Municipal Income Fund
FLC	21.5	21.45	22500	Flaherty & Crumrine Total Return Fund Inc
FCE.A	25.21	24.94	1038200	Forest City Realty Trust, Inc.
MAXR	60.88	60.88	409800	Maxar Technologies Ltd.
FLO	18.93	18.74	1568500	Flowers Foods, Inc.
FLR	42.67	42.415	1341600	Fluor Corporation
FLS	44.51	44.37	923700	Flowserve Corporation
FLT	160.72	160.36	503400	FleetCor Technologies, Inc.
LMHA	26.88	26.78	23700	Legg Mason, Inc.
FLY	14.29	14.23	24300	Fly Leasing Limited
LMHB	25.08	25.08	81500	Legg Mason, Inc.
SXC	9.85	9.72	269300	SunCoke Energy, Inc.
SXE	2.17	2.05	75600	Southcross Energy Partners, L.P.
SXI	103.6	102.75	27100	Standex International Corporation
SXT	78.49	77.42	196000	Sensient Technologies Corporation
AQN	10.88	10.88	73200	Algonquin Power & Utilities Corp.
USDP	11.3	11.05	40300	USD Partners LP
PDI	30.68	30.11	561100	PIMCO Dynamic Income Fund
PDM	20.34	20.11	829500	Piedmont Office Realty Trust, Inc.
SCHW	44.78	43.34	7189300	The Charles Schwab Corporation
FMC	94.6	94.08	962400	FMC Corporation
PDS	2.6	2.58	1354000	Precision Drilling Corporation
PDT	16.76	16.7	85300	John Hancock Premium Dividend Fund
FMN	14.65	14.61	4100	Federated Premier Municipal Income Fund
FMO	12.68	12.51	105600	Fiduciary/Claymore MLP Opportunity Fund
FMS	47.55	47.54	132800	Fresenius Medical Care Corporation
ANTM	184.16	183.69	2025700	Anthem, Inc.
FMX	93.12	92.35	896000	Fomento Economico Mexicano S.A.B. de C.V.
FMY	14.28	14.16	3400	First Trust
MPLX	34.51	34.44	583300	MPLX LP
SYF	31.59	30.85	4723500	Synchrony Financial
ANTX	51.23	51	84500	Anthem, Inc.
SYK	147	146.65	1249000	Stryker Corporation
KIM	19.25	19.16	3290800	Kimco Realty Corporation
KIO	18.03	17.75	338000	KKR Income Opportunities Fund
ARA	12.73	12.54	216200	American Renal Associates Holdings, Inc
SYT	92.11	92	8800	Syngenta AG
ARC	4.21	4.1	238000	ARC Document Solutions, Inc.
ARD	21	20.805	109000	Ardagh Group S.A.
ARE	123.12	123.01	666300	Alexandria Real Estate Equities, Inc.
SYX	28.22	27.84	70700	Systemax Inc.
SYY	54.59	54.22	1329600	Sysco Corporation
ASPN	4.29	4.21	21100	Aspen Aerogels, Inc.
SUPV	25.05	24.98	921500	Grupo Supervielle S.A.
ARI	18.42	18.41	618700	Apollo Commercial Real Estate Finance
ARL	8.75	8.75	700	American Realty Investors, Inc.
PEB	37.22	36.9	294100	Pebblebrook Hotel Trust
ARR	27.15	27.04	635600	ARMOUR Residential REIT, Inc.
PEG	48.54	48.205	3620300	Public Service Enterprise Group Incorporated
PEI	10.45	10.42	1319000	Pennsylvania Real Estate Investment Trust
ARW	83.06	82.85	231300	Arrow Electronics, Inc.
EROS	14.5	13.15	531200	Eros International PLC
PEN	92.05	92.05	54400	Penumbra, Inc.
PEO	19.65	19.52	29400	Adams Natural Resources Fund, Inc.
PEP	113.22	111.66	3825100	Pepsico, Inc.
FNB	14.1	13.91	1623700	F.N.B. Corporation
PER	2.8	2.8	46700	SandRidge Permian Trust
PES	2.05	1.95	540000	Pioneer Energy Services Corp.
FND	37.91	37.06	257100	Floor & Decor Holdings, Inc.
FNF	34.4	34.37	1499500	Fidelity National Financial, Inc.
UAA	16.23	16.13	2892600	Under Armour, Inc.
FNV	79.21	79	365100	Franco-Nevada Corporation
UAL	67.08	66.8	4806900	United Continental Holdings, Inc.
UAN	3	2.98	141400	CVR Partners, LP
SZC	19.21	18.75	31000	Cushing Renaissance Fund (The)
ASA	11.89	11.8	66400	ASA Gold and Precious Metals Limited
ASB	24.55	24.05	612100	Associated Banc-Corp
ASC	8.9	8.5	206600	Ardmore Shipping Corporation
ASG	5.45	5.39	87200	Liberty All-Star Growth Fund, Inc.
ASH	66.84	66.56	301600	Ashland Global Holdings Inc.
USFD	27.33	27.13	2364100	US Foods Holding Corp.
PFD	15.23	15.06	18800	Flaherty & Crumrine Preferred Income Fund Incorporated
ASR	179.31	177.37	117400	Grupo Aeroportuario del Sureste, S.A. de C.V.
PFE	35.89	35.75	14019600	Pfizer, Inc.
PFG	67.43	67.08	905700	Principal Financial Group Inc
PFH	14.54	14.29	7300	CABCO Series 2004-101 Trust
ASX	6.32	6.27	680300	Advanced Semiconductor Engineering, Inc.
PFL	12.17	11.88	250000	PIMCO Income Strategy Fund
PFN	10.7	10.54	367100	PIMCO Income Strategy Fund II
PFO	12.17	12.16	29400	Flaherty & Crumrine Preferred Income Opportunity Fund Inc
PFS	27.73	27.26	117300	Provident Financial Services, Inc
ZAYO	34.75	34.59	2352700	Zayo Group Holdings, Inc.
FOE	23.43	23.38	471700	Ferro Corporation
FOF	13.35	13.21	75900	Cohen & Steers Closed-End Opportunity Fund, Inc.
UBA	22.56	22.47	51800	Urstadt Biddle Properties Inc.
FOR	17.55	17.5	337600	Forestar Group Inc
KODK	6.5	6.4	117700	Eastman Kodak Company
BNED	6.18	6.18	225900	Barnes & Noble Education, Inc
UBP	18	18	1400	Urstadt Biddle Properties Inc.
UBS	17.33	17.2	1445100	UBS AG
KKR	20.24	20.05	774400	KKR & Co. L.P.
BSAC	31.54	30.93	357100	Banco Santander Chile
ATH	54.8	54.09	438500	Athene Holding Ltd.
ATI	24.9	24.455	1695000	Allegheny Technologies Incorporated
VLRS	11.01	10.67	385400	Controladora Vuela Compania de Aviacion, S.A.B. de C.V.
ATO	86.19	86.08	317000	Atmos Energy Corporation
ATR	89.3	88.71	175300	AptarGroup, Inc.
ATU	26.25	25.9	420400	Actuant Corporation
PGH	1.02	0.98	791300	Pengrowth Energy Corporation
ATV	14.13	13.865	7900	Acorn International, Inc.
PGP	16.7	16.6	34800	Pimco Global Stocksplus & Income Fund
PGR	49	48.08	5517400	Progressive Corporation (The)
FPF	24.91	24.79	104900	First Trust Intermediate Duration Preferred & Income Fund
TARO	107.62	107	63400	Taro Pharmaceutical Industries Ltd.
FPH	13.38	13.2	40400	Five Point Holdings, LLC
FPI	8.98	8.98	128300	Farmland Partners Inc.
PGZ	18	17.75	33300	Principal Real Estate Income Fund
FPL	12.62	12.41	65700	First Trust New Opportunities MLP & Energy Fund
GATX	64.01	63.53	205400	GATX Corporation
AFGE	26.7	26.62	6200	American Financial Group, Inc.
FPT	13.75	13.71	800	Federated Premier Intermediate Municipal Income Fund
AFGH	26.75	26.75	5100	American Financial Group, Inc.
DOOR	67.55	66.55	150500	Masonite International Corporation
ONDK	5.06	4.97	355700	On Deck Capital, Inc.
AUO	4.09	4.05	822500	AU Optronics Corp
PHD	12.13	12.05	53800	Pioneer Floating Rate Trust
PHG	40.17	40.15	1560700	Koninklijke Philips N.V.
PHH	13.75	13.69	98500	PHH Corp
PHI	32.66	32.42	166500	PLDT Inc.
BSBR	9.73	9.53	1532000	Banco Santander Brasil SA
PHK	8.14	8.06	800300	Pimco High Income Fund
AUY	2.61	2.6	8582800	Yamana Gold Inc.
PHM	27.15	27.01	3758400	PulteGroup, Inc.
SPXC	29.66	29.49	181500	SPX Corporation
PHT	10.07	9.99	83100	Pioneer High Income Trust
PHX	24.65	24	24200	Panhandle Royalty Company
SPXX	16	15.99	44300	Nuveen S&P 500 Dynamic Overwrite Fund
KMB	118.08	116.79	1579500	Kimberly-Clark Corporation
UDR	38.67	38.55	934800	United Dominion Realty Trust, Inc.
KMF	14.26	14	124700	Kayne Anderson Midstream Energy Fund, Inc
CVEO	2.52	2.49	424300	Civeo Corporation
KMG	56.8	56.72	390700	KMG Chemicals, Inc.
MULE	22.42	22.04	851800	MuleSoft, Inc.
KMI	18.64	18.53	13074700	Kinder Morgan, Inc.
KMM	8.92	8.89	16000	Scudder Multi-Market Income Trust
GTN.A	13.23	13.23	100	Gray Television, Inc.
AVA	52	51.94	568200	Avista Corporation
AVB	178.9	178.87	574900	AvalonBay Communities, Inc.
AVD	23.4	22.95	51200	American Vanguard Corporation
KMT	42.79	42.24	526900	Kennametal Inc.
AVH	7.34	7.33	114500	Avianca Holdings S.A.
KMX	75.25	75.19	1191600	CarMax Inc
CLNS	12.54	12.54	1826400	Colony NorthStar, Inc.
AVK	16.34	16.225	45600	Advent Claymore Convertible Securities and Income Fund
FRAC	15.86	15.7	393100	Keane Group, Inc.
AVP	2.4	2.31	2664500	Avon Products, Inc.
AVT	40.62	40.56	854300	Avnet, Inc.
PII	102.71	102.61	454100	Polaris Industries Inc.
XYL	65.43	62.24	3114500	Xylem Inc.
AVX	19.52	19.37	119700	AVX Corporation
AVY	102.44	100.93	551400	Avery Dennison Corporation
PIM	4.8	4.8	72400	Putnam Master Intermediate Income Trust
FRA	14.19	14.17	93300	Blackrock Floating Rate Income Strategies Fund Inc
PIR	4.18	4.12	1599400	Pier 1 Imports, Inc.
FRC	97.1	95.83	1620100	FIRST REPUBLIC BANK
TPGE	9.8	9.8	100000	TPG Pace Energy Holdings Corp.
PIY	25.15	25.055	6400	Merrill Lynch Depositor, Inc.
RDS.A	60.98	60.49	2841600	Royal Dutch Shell PLC
RDS.B	62.61	62.045	874100	Royal Dutch Shell PLC
FRO	6.34	6.23	331500	Frontline Ltd.
FRT	128.61	128.32	319600	Federal Realty Investment Trust
KND	6.15	6.05	1188100	Kindred Healthcare, Inc.
KNL	19.74	19.64	211600	Knoll, Inc.
AWF	13.02	12.92	190600	Alliance World Dollar Government Fund II
AWI	53.4	53	189100	Armstrong World Industries Inc
KNX	38.79	38.19	2117300	Knight Transportation, Inc.
AWK	85.12	85.03	1110700	American Water Works
AWP	6.86	6.81	297000	Alpine Global Premier Properties Fund
PJC	60.8	59.95	71200	Piper Jaffray Companies
AWR	53.64	53.64	126700	American States Water Company
PJH	25.55	25.45	88100	Prudential Financial, Inc.
FSB	34.45	34.3	52500	Franklin Financial Network, Inc.
GPJA	25	24.93	104900	Georgia Power Company
FSD	17.13	17.05	111300	First Trust High Income Long Short Fund
PJT	36.85	36.51	53600	PJT Partners Inc.
APAM	35	34.55	252400	Artisan Partners Asset Management Inc.
PGRE	16.4	16.4	2580700	Paramount Group, Inc.
FSM	4.41	4.395	764800	Fortuna Silver Mines Inc.
FSS	21.6	21.36	127600	Federal Signal Corporation
UFI	36.76	36.01	34600	Unifi, Inc.
UFS	44.04	43.715	938500	Domtar Corporation
KOF	70.92	69.98	171700	Coca Cola Femsa S.A.B. de C.V.
SMFG	7.87	7.8	1562200	Sumitomo Mitsui Financial Group Inc
KOP	48.8	48.05	64200	Koppers Holdings Inc.
KOS	7.55	7.49	1588200	Kosmos Energy Ltd.
AXE	86.05	84.8	112900	Anixter International Inc.
ZBH	119.67	118.8	845500	Zimmer Biomet Holdings, Inc.
ZBK	30.45	29.76	1100	Zions Bancorporation
CLPR	11.58	11.2	61000	Clipper Realty Inc.
WTTR	16.08	15.72	331900	Select Energy Services, Inc.
AXL	17.86	17.82	1221200	American Axle & Manufacturing Holdings, Inc.
PLNT	25.95	25.84	502400	Planet Fitness, Inc.
AXP	91.85	91.58	2939500	American Express Company
FCPT	25.53	25.34	141000	Four Corners Property Trust, Inc.
PKD	1	0.95	1131300	Parker Drilling Company
AXR	6.95	6.79	900	AMREP Corporation
PKE	19.04	18.74	52200	Park Electrochemical Corporation
AXS	57.3	56.73	587000	Axis Capital Holdings Limited
PKG	117.07	116.52	711500	Packaging Corporation of America
GKOS	32.97	32.58	256500	Glaukos Corporation
PKI	71.13	69.74	540400	PerkinElmer, Inc.
HIVE	4.2	3.96	341300	Aerohive Networks, Inc.
PKO	26.4	25.91	128200	Pimco Income Opportunity Fund
RRTS	9.08	8.46	89700	Roadrunner Transportation Systems, Inc
FTI	26.21	25.995	3242900	TechnipFMC plc
PKX	74.02	72.9	182000	POSCO
FTK	4.76	4.66	828500	Flotek Industries, Inc.
FTS	36.88	36.8	173400	Fortis Inc.
FTV	72.08	71.48	1318200	Fortive Corporation
UGI	47.29	47.2	651500	UGI Corporation
UGP	24.64	24.59	402600	Ultrapar Participacoes S.A.
AYI	164.22	162.34	499700	Acuity Brands Inc
PLOW	40.1	39.8	45800	Douglas Dynamics, Inc.
PLD	64.97	63.74	2389300	Prologis, Inc.
AYR	24.02	23.5	400200	Aircastle Limited
BIOA	0.59	0.563	1679800	BioAmber Inc.
AYX	21.29	20.87	132300	Alteryx, Inc.
PLT	44.86	44.54	108000	Plantronics, Inc.
FUL	57.31	56.96	294800	H. B. Fuller Company
FUN	63.26	63.11	97500	Cedar Fair, L.P.
PGTI	14.6	14.375	205900	PGT Innovations, Inc.
NXRT	24.45	24.375	79400	NexPoint Residential Trust, Inc.
SHLX	27.04	26.97	147000	Shell Midstream Partners, L.P.
UHS	106.13	105.51	1400000	Universal Health Services, Inc.
CAA	37.9	37.74	634900	CalAtlantic Group, Inc.
UHT	76.35	76.015	23400	Universal Health Realty Income Trust
CAE	17.54	17.35	252800	CAE Inc
CAF	24.16	23.99	74400	Morgan Stanley China A Share Fund Inc.
CAG	34.35	34.12	3497000	ConAgra Brands, Inc.
CAH	64.49	64.1	2278700	Cardinal Health, Inc.
CAI	30.42	30.21	116800	CAI International, Inc.
SMHI	13.4	13.24	42900	SEACOR Marine Holdings Inc.
CAJ	35.7	35.61	105600	Canon, Inc.
CAL	27.48	27.4	231600	Caleres, Inc.
CAT	131.14	130.32	2380300	Caterpillar, Inc.
AZN	34.58	34.49	6444700	Astrazeneca PLC
AZO	600	598.65	389000	AutoZone, Inc.
PMC	29.2	29.15	290600	Pharmerica Corporation
PMF	13.59	13.55	26500	PIMCO Municipal Income Fund
GCAP	6.32	6.16	74400	GAIN Capital Holdings, Inc.
AXTA	28.38	28.29	2422600	Axalta Coating Systems Ltd.
PML	13.31	13.3	126400	Pimco Municipal Income Fund II
PMM	7.58	7.53	66800	Putnam Managed Municipal Income Trust
AZZ	47.2	47.2	107800	AZZ Inc.
PMO	12.7	12.67	24300	Putnam Municipal Opportunities Trust
PMT	16.91	16.83	365500	PennyMac Mortgage Investment Trust
PMX	11.83	11.83	37300	PIMCO Municipal Income Fund III
EOCC	26.87	26.68	163000	Enel Generacion Chile S.A.
GPMT	18.99	18.91	68300	Granite Point Mortgage Trust Inc.
KRA	41.95	41.31	163800	Kraton Corporation
KRC	72.63	72.53	666000	Kilroy Realty Corporation
UIS	8.75	8.6	294900	Unisys Corporation
CBB	20.15	19.8	223700	Cincinnati Bell Inc
CBD	24.38	23.85	415300	Companhia Brasileira de Distribuicao
KRG	20.2	20.15	718900	Kite Realty Group Trust
CBG	39.53	39.47	1664500	CBRE Group, Inc.
CBH	9.87	9.83	13700	AllianzGI Convertible & Income 2024 Target Term Fund
CBI	16.2	15.83	1597800	Chicago Bridge & Iron Company N.V.
CBK	1.35	1.32	32300	Christopher & Banks Corporation
CBL	8.53	8.47	1693000	CBL & Associates Properties, Inc.
KRO	25.78	25.71	430600	Kronos Worldwide Inc
CBM	53.35	51.375	343200	Cambrex Corporation
KRP	16.61	16.6	20000	Kimbell Royalty Partners
USNA	61.65	60.7	83400	USANA Health Sciences, Inc.
CBS	56.74	56.35	2288500	CBS Corporation
CBT	58.32	58	203500	Cabot Corporation
CBU	55.91	54.61	134600	Community Bank System, Inc.
ZEN	29.8	29.45	485200	Zendesk, Inc.
CBZ	16.95	16.725	124500	CBIZ, Inc.
PNC	135.53	134.18	2055700	PNC Financial Services Group, Inc. (The)
PNF	13.12	13.12	8200	PIMCO New York Municipal Income Fund
PNI	12.34	12.34	11400	Pimco New York Municipal Income Fund II
PNM	40.85	40.85	624600	PNM Resources, Inc. (Holding Co.)
PNR	70.89	70.23	841600	Pentair plc.
PNW	87.02	87.02	649900	Pinnacle West Capital Corporation
CCC	21.45	21.45	1639000	Calgon Carbon Corporation
CCE	41.97	41.73	978600	Coca-Cola European Partners plc
CCI	101.95	100.87	2503300	Crown Castle International Corporation
CCJ	9.11	9.065	1111100	Cameco Corporation
KSM	12.18	12.13	9400	Scudder Strategic Municiple Income Trust
CCK	60.23	59.81	593000	Crown Holdings, Inc.
CCL	67.83	67.82	1877900	Carnival Corporation
CCM	3.55	3.55	27100	Concord Medical Services Holdings Limited
CCO	4.45	4.35	360400	Clear Channel Outdoor Holdings, Inc.
KSS	42.76	42.67	3075700	Kohl's Corporation
KST	12.44	12.44	5000	Scudder Strategic Income Trust
KSU	101.25	99.7	2083500	Kansas City Southern
CCS	25.8	25.5	140500	Century Communities, Inc.
CCU	27.85	27.66	40800	Compania Cervecerias Unidas, S.A.
CCV	25.4	25.25	11500	Comcast Corporation
RELX	22.59	22.55	87200	RELX PLC
CCZ	57.8	57.8	100	Comcast Corporation
DYNC	66.3	65.85	6700	Dynegy Inc.
TCAP	13.32	12.47	1468900	Triangle Capital Corporation
BABA	179.58	175.3	20132200	Alibaba Group Holding Limited
POL	41.58	40.97	323700	PolyOne Corporation
POR	44.85	44.85	1234100	Portland General Electric Company
POT	19.32	19.04	2318900	Potash Corporation of Saskatchewan Inc.
SHOP	97	95.4	2475400	Shopify Inc.
MUSA	73.09	73.09	171200	Murphy USA Inc.
KTF	12.31	12.3	134300	Scudder Municiple Income Trust
KTH	33.54	33.54	600	Lehman ABS Corporation
CDE	8.78	8.53	1996700	Coeur Mining, Inc.
KTN	33.3	33.3	2900	Lehman ABS Corporation
KTP	14.5	14.5	12600	Lehman ABS Corporation
CDR	5.72	5.63	535800	Cedar Realty Trust, Inc.
USPH	63.55	62.95	62400	U.S. Physical Therapy, Inc.
PPG	113.12	112.76	1581500	PPG Industries, Inc.
PPL	37.41	37.26	3152500	PPL Corporation
PPR	5.17	5.16	359000	Voya Prime Rate Trust
PPT	5.32	5.32	492600	Putnam Premier Income Trust
PPX	25.52	25.52	9400	PPL Capital Funding, Inc.
SWCH	19.95	19.51	1065800	Switch, Inc.
VNCE	0.51	0.47	132100	Vince Holding Corp.
CEA	25.04	24.92	12900	China Eastern Airlines Corporation Ltd.
BDXA	55.26	55.25	20800	Becton, Dickinson and Company
CEE	24.99	24.8	11500	The Central and Eastern Europe Fund, Inc.
CEL	9.79	9.76	7700	Cellcom Israel, Ltd.
CEM	14.43	14.19	228600	ClearBridge Energy MLP Fund Inc.
CEN	10.34	10.17	107500	Center Coast MLP & Infrastructure Fund
CEO	130.35	129.565	65200	CNOOC Limited
RENN	9.29	9.17	206200	Renren Inc.
SMLP	21.3	20.85	80000	Summit Midstream Partners, LP
TCCA	25.47	25.4	7400	Triangle Capital Corporation
TCCB	25.55	25.52	1200	Triangle Capital Corporation
RENX	21.7	21.7	44900	RELX N.V.
BITA	53.8	50	1199700	Bitauto Holdings Limited
PQG	17.11	17.08	297500	PQ Group Holdings Inc.
HAE	45.29	44.93	292300	Haemonetics Corporation
HAL	44.6	44.145	7556500	Halliburton Company
UMC	2.65	2.61	844700	United Microelectronics Corporation
CVNA	13.9	13.801	271500	Carvana Co.
UMH	15.78	15.61	86300	UMH Properties, Inc.
UNVR	30.08	29.46	452700	Univar Inc.
CFG	37.24	36.6	3307700	Citizens Financial Group, Inc.
INFY	14.62	14.4	7557000	Infosys Limited
CFR	97.68	95.65	317700	Cullen/Frost Bankers, Inc.
WLKP	22.85	22.65	16400	Westlake Chemical Partners LP
CFX	42.67	42.32	542700	Colfax Corporation
PRA	56.05	55.35	70800	ProAssurance Corporation
HBB	38.96	38.53	32400	Hamilton Beach Brands Holding Company
PRH	25.67	25.65	11600	Prudential Financial, Inc.
PRI	89.35	87.3	274600	Primerica, Inc.
HBI	23.39	23.07	4062100	Hanesbrands Inc.
PRO	25.05	24.81	71900	PROS Holdings, Inc.
HBM	8.3	7.905	1093600	Hudbay Minerals Inc.
PRU	109.7	108.34	1605600	Prudential Financial, Inc.
GPRK	9.28	8.93	45500	Geopark Ltd
UNF	157.3	154.35	62600	Unifirst Corporation
UNH	196.58	196.37	8949700	UnitedHealth Group Incorporated
UNM	52.61	51.88	835600	Unum Group
UNP	109.34	108.71	3975200	Union Pacific Corporation
CGA	1.28	1.27	30200	China Green Agriculture, Inc.
UNT	19.26	18.14	619600	Unit Corporation
BFAM	85.1	84.91	235000	Bright Horizons Family Solutions Inc.
CGG	4.57	4.3	12700	CGG
INGR	124.17	123.08	316600	Ingredion Incorporated
CGI	5.25	5.1	292100	Celadon Group, Inc.
KEYS	42.48	42.28	841700	Keysight Technologies Inc.
KWR	150.74	149.39	48400	Quaker Chemical Corporation
PSA	216.74	214.305	723300	Public Storage
PSB	135.87	134.75	76700	PS Business Parks, Inc.
HCA	75.62	75.3	3771200	HCA Healthcare, Inc.
HCC	23.57	23.57	1279200	Warrior Met Coal, Inc.
PSF	28.49	28.32	17900	Cohen & Steers Select Preferred and Income Fund, Inc.
HCI	38.81	38.25	69800	HCI Group, Inc.
PSO	8.82	8.68	1770000	Pearson, Plc
BSMX	9.28	8.84	2472000	Grupo Financiero Santander Mexico S.A. B. de C.V.
HCN	67.84	67.63	1273400	Welltower Inc.
HCP	26.17	26.11	3285800	HCP, Inc.
PSX	90.69	90.4	2398400	Phillips 66
AFSD	25.11	25.11	38900	Aflac Incorporated
AFSS	25.75	25.72	2300	AmTrust Financial Services, Inc.
AFST	26.3	26.3	12000	AmTrust Financial Services, Inc.
CHA	52.35	52.3	79300	China Telecom Corp Ltd
CHD	47.66	47.38	1119200	Church & Dwight Company, Inc.
CHE	201.24	201.042	61600	Chemed Corp.
CHH	67.4	66.4	271400	Choice Hotels International, Inc.
CHK	3.86	3.73	19314200	Chesapeake Energy Corporation
CHL	50.86	50.52	1118600	China Mobile (Hong Kong) Ltd.
CHN	21.11	21.09	65500	China Fund, Inc. (The)
CHS	7.12	7.07	1653400	Chico's FAS, Inc.
CHT	34.2	34.13	65000	Chunghwa Telecom Co., Ltd.
CHU	14.5	14.46	116200	China Unicom (Hong Kong) Ltd
HDB	96.26	94.49	896600	HDFC Bank Limited
PTR	65.09	64.37	79800	PetroChina Company Limited
MHLA	25.79	25.73	7400	Maiden Holdings, Ltd.
CIEN	21.32	21.12	4313600	Ciena Corporation
TPRE	16.4	16.25	447600	Third Point Reinsurance Ltd.
PTY	16.82	16.51	493600	Pimco Corporate & Income Opportunity Fund
KORS	48.41	48.15	2171500	Michael Kors Holdings Limited
UPS	117.96	117.4	1484400	United Parcel Service, Inc.
CIA	7.42	7.32	45400	Citizens, Inc.
KYE	10.9	10.7	124200	Kayne Anderson Energy Total Return Fund, Inc.
CIB	43.41	43.41	470000	BanColombia S.A.
CIC	9.78	9.76	5700	Capitol Investment Corp. IV
CIE	1.02	0.97	523500	Cobalt International Energy, Inc.
CIF	2.96	2.91	98200	Colonial Intermediate High Income Fund
CIG	2.52	2.5	6356600	Comp En De Mn Cemig ADS
CII	15.7	15.68	102800	Blackrock Capital and Income Strategies Fund Inc
KYN	17.33	17.05	360500	Kayne Anderson MLP Investment Company
KYO	66.02	65.91	5500	Kyocera Corporation
CIM	19.18	19.13	496400	Chimera Investment Corporation
CIO	13.31	13.22	142100	City Office REIT, Inc.
RTEC	26.75	26.7	212100	Rudolph Technologies, Inc.
CIR	55	54.12	31600	CIRCOR International, Inc.
CIT	49.45	48.98	1500300	CIT Group Inc (DEL)
PUK	48.37	48	101500	Prudential Public Limited Company
HEI	90.05	88.8	331800	Heico Corporation
APLE	19.11	19	747700	Apple Hospitality REIT, Inc.
HEP	33.95	33.66	115900	Holly Energy Partners, L.P.
SRLP	26.04	25.4	7900	Sprague Resources LP
HEQ	17.74	17.6	18700	John Hancock Hedged Equity & Income Fund
